dataset_id,stage_label,split,identity_candidate_count,accepted_count,rejected_count,training_usable,median_confidence,median_presence,median_localization_error,safety_cap_hit,identity_endpoint_count,basal_transition_candidate_added,input_domain,shoot_retention_ratio,root_base_overlap_ratio,green_shoot_retention_ratio,seed_detected,roi_localization_source,retention_repair_used
v4_legacy_0012,leaf1_to_2,train,21,12,9,1,0.6065742527588507,1.0,0.003644701618086066,0,7,1,phenotype_roi_v1,0.9362371930627897,0.0,0.9668274804592543,True,estimated_seed,True
v4_legacy_0013,leaf1_to_2,train,14,10,4,1,0.878448537782849,1.0,0.0022554177093040825,0,6,1,phenotype_roi_v1,0.9875457875457876,0.0,0.9898573263912367,True,estimated_seed,False
v4_legacy_0014,leaf1_to_2,train,20,13,7,1,0.5175785920941952,0.8888888888888888,0.002981406499934192,0,5,1,phenotype_roi_v1,0.9326611169734631,0.00029211295034079843,0.9746279092997703,True,estimated_seed,False
v4_legacy_0015,leaf1_to_2,train,21,9,12,1,0.8515193783510855,1.0,0.0037951698897633027,0,7,1,phenotype_roi_v1,0.9384260593831075,0.004601226993865031,0.9566815437122604,True,estimated_seed,False
v4_legacy_0016,leaf1_to_2,train,14,9,5,1,0.8800080523323599,1.0,0.0023808009893917376,0,4,1,phenotype_roi_v1,0.9049426485922837,0.0003835826620636747,0.9256526409190678,True,estimated_seed,False
v4_legacy_0017,leaf1_to_2,train,15,10,5,1,0.7276161617508172,1.0,0.003558259821481245,0,5,1,phenotype_roi_v1,0.9160039761431411,0.0,0.9333661175313499,True,estimated_seed,False
v4_legacy_0018,leaf1_to_2,train,22,12,10,1,0.6448457736471724,0.9444444444444444,0.002998700505119087,0,6,1,phenotype_roi_v1,0.9667843335014288,0.0,0.9789077508135022,False,seed_base_root_mask,False
v4_legacy_0019,leaf1_to_2,train,13,7,6,1,0.8624812958238126,1.0,0.0029561247262802496,0,11,1,phenotype_roi_v1,0.9797820893783138,0.011273128293101335,0.9906139575971732,True,estimated_seed,False
v4_legacy_0020,leaf1_to_2,train,16,10,6,1,0.785635458207522,1.0,0.005561849685396433,0,8,1,phenotype_roi_v1,0.9872189121660581,0.0112876254180602,0.9894981020666386,True,estimated_seed,False
v4_legacy_0021,lt1_needle,train,17,12,5,1,0.7065433999326114,0.9444444444444444,0.0035805688838235774,0,13,1,phenotype_roi_v1,0.8785020521579524,0.004236597686165879,0.9103621079857743,True,estimated_seed,False
v4_legacy_0022,lt1_needle,train,18,8,10,1,0.5826448159106471,1.0,0.005091432245523602,0,5,1,phenotype_roi_v1,0.9939051918735892,0.0029354207436399216,1.0,True,estimated_seed,False
v4_legacy_0023,lt1_needle,train,20,11,9,1,0.6319251018245514,0.8888888888888888,0.003120729204140267,0,9,1,phenotype_roi_v1,0.9718090733710872,8.268904783561417e-05,0.986146554866934,True,estimated_seed,False
v4_legacy_0024,lt1_needle,train,19,14,5,1,0.5237906417073662,0.8888888888888888,0.004778373801937888,0,7,1,phenotype_roi_v1,0.9936448802936504,0.0010296452014243425,0.9954633830200907,True,estimated_seed,False
v4_legacy_0025,lt1_needle,train,21,16,5,1,0.6468016006065969,0.8888888888888888,0.00456847055139776,0,12,1,phenotype_roi_v1,0.993054801953337,0.0017635440180586907,0.9987153034608947,True,estimated_seed,False
v4_legacy_0026,lt1_needle,train,16,9,7,1,0.5464870973315052,0.7777777777777778,0.0026754358002664584,0,10,1,phenotype_roi_v1,0.9322468882330296,0.0015175751609860138,0.9652857820869212,True,estimated_seed,False
v4_legacy_0027,lt1_needle,train,15,10,5,1,0.7276546088062619,0.8888888888888888,0.0025838855965101175,0,10,1,phenotype_roi_v1,0.9984751871361242,0.0037066077411077054,1.0,True,estimated_seed,False
v4_legacy_0028,lt1_needle,train,19,12,7,1,0.6888041813295844,0.8888888888888888,0.00315854846729012,0,13,1,phenotype_roi_v1,0.9991736460078169,0.0011527727217570682,1.0,True,estimated_seed,False
v4_legacy_0029,lt1_needle,train,16,7,9,1,0.6426702084055236,1.0,0.00460365656108467,0,5,1,phenotype_roi_v1,0.9818145878632141,0.0,0.982064128256513,True,estimated_seed,False
v4_legacy_0030,lt1_needle,train,16,13,3,1,0.5848303718081713,0.8888888888888888,0.003051833072881636,0,4,1,phenotype_roi_v1,0.9608576414859137,0.0,1.0,True,estimated_seed,True
v4_legacy_0031,gt2,train,15,11,4,1,0.6111139881508948,1.0,0.0044846139784829936,0,6,1,phenotype_roi_v1,1.0,0.009068923821039904,1.0,True,estimated_seed,False
v4_legacy_0032,gt2,train,15,11,4,1,0.5802701498629059,1.0,0.0037097605703045457,0,6,1,phenotype_roi_v1,0.9952984464431726,0.0,0.9978512594007402,True,estimated_seed,False
v4_legacy_0033,gt2,train,16,9,7,1,0.5460916775621502,1.0,0.004167746601593427,0,4,1,phenotype_roi_v1,0.9938697318007663,0.0,0.9940707201379905,True,estimated_seed,False
v4_legacy_0034,gt2,train,13,13,0,1,0.4601336776125288,1.0,0.007643820268294817,0,5,1,phenotype_roi_v1,0.9624114111420113,0.0,0.971112660623568,True,estimated_seed,False
v4_legacy_0035,gt2,train,15,8,7,1,0.6485134356045272,1.0,0.004329347202497431,0,4,0,phenotype_roi_v1,0.9268713774818104,0.0,0.9548387096774194,True,estimated_seed,False
v4_legacy_0036,gt2,train,18,7,11,1,0.669806598809227,1.0,0.007133599988169167,0,9,1,phenotype_roi_v1,0.9641739743533249,0.002849002849002849,0.9554116896142975,True,estimated_seed,False
v4_legacy_0037,gt2,train,19,13,6,1,0.5479228981371115,1.0,0.003049558217234229,0,4,1,phenotype_roi_v1,0.9984606174634396,0.008256880733944955,1.0,True,estimated_seed,False
v4_legacy_0038,gt2,train,16,11,5,1,0.7366661845855537,1.0,0.0037596961389396964,0,12,1,phenotype_roi_v1,0.9744588248768755,0.0,0.967158331412768,True,estimated_seed,False
v4_legacy_0039,gt2,train,21,11,10,1,0.5106497666549873,1.0,0.005098697602631917,0,5,1,phenotype_roi_v1,0.9766313140391875,0.01091901728844404,0.9845788043478261,True,estimated_seed,False
v4_legacy_0040,unknown,train,23,15,8,1,0.7103519601894912,1.0,0.004106143576624747,0,19,1,phenotype_roi_v1,0.9331089802692237,0.014326647564469915,0.9592977985417994,True,estimated_seed,True
v4_legacy_0041,gt2,train,16,10,6,1,0.8345079811117377,1.0,0.002989928738102844,0,10,1,phenotype_roi_v1,0.9741283725514353,0.0043859649122807015,0.9751959114139693,True,estimated_seed,False
v4_legacy_0042,gt2,train,16,10,6,1,0.4918321423742358,1.0,0.00453023135386914,0,3,1,phenotype_roi_v1,1.0,0.0016051364365971107,1.0,False,seed_base_root_mask,False
v4_legacy_0043,gt2,train,15,9,6,1,0.8861657130469798,1.0,0.002945402407902302,0,5,1,phenotype_roi_v1,0.9858324832823303,0.02043132803632236,0.9943104849634246,True,estimated_seed,False
v4_legacy_0044,gt2,train,17,13,4,1,0.647918965458527,0.8888888888888888,0.0032377020727752267,0,9,1,phenotype_roi_v1,0.8986868168146137,0.01287128712871287,0.9639859457349209,True,estimated_seed,True
v4_legacy_0045,gt2,train,20,12,8,1,0.6137379030678349,1.0,0.003889551490718139,0,5,1,phenotype_roi_v1,0.982080637132902,0.0051635111876075735,0.9915691672401927,True,estimated_seed,False
v4_legacy_0046,gt2,train,20,12,8,1,0.48728346258184707,0.8888888888888888,0.004921134538665432,0,9,1,phenotype_roi_v1,0.9637149179809618,0.022803114571746386,0.9688939323142647,True,estimated_seed,False
v4_legacy_0047,gt2,train,17,7,10,1,0.8727295866017464,1.0,0.0028042243849256392,0,7,1,phenotype_roi_v1,0.9437527649623965,0.020076481835564052,0.9665243765445968,True,estimated_seed,False
v4_legacy_0048,unknown,train,16,9,7,1,0.5662126574835562,0.8888888888888888,0.0017687050242488843,0,4,1,phenotype_roi_v1,0.9890422831672135,0.059602649006622516,0.9904184751453607,True,estimated_seed,False
v4_legacy_0049,gt2,train,16,8,8,1,0.7531310340974662,1.0,0.0028464578339400266,0,6,1,phenotype_roi_v1,0.9732322747769356,0.002793296089385475,0.9779464931308749,True,estimated_seed,False
v4_legacy_0050,unknown,train,18,12,6,1,0.5518540051282446,1.0,0.0023534369374828023,0,5,1,phenotype_roi_v1,0.8713878713878714,0.0,0.9078153042910753,True,estimated_seed,False
v4_legacy_0051,gt2,train,18,12,6,1,0.6989323540401382,0.8888888888888888,0.002536313554367734,0,8,1,phenotype_roi_v1,0.9754704687440113,0.0,0.9772106350369827,True,estimated_seed,False
v4_legacy_0052,gt2,train,16,8,8,1,0.8422009426949482,1.0,0.0018916114723895228,0,9,1,phenotype_roi_v1,0.9727002199508346,0.0061000406669377795,0.9775897553167162,True,estimated_seed,False
v4_legacy_0053,unknown,train,18,8,10,1,0.8490788995182295,1.0,0.0027390124298537133,0,4,1,phenotype_roi_v1,0.9461328620278942,0.0,0.9648981665749249,False,manifest_automatic_base_hint_fallback,False
v4_legacy_0054,gt2,train,18,9,9,1,0.8379610305086242,1.0,0.0028841182239169767,0,6,1,phenotype_roi_v1,0.9931082492168465,0.0018726591760299626,0.9933608058608059,True,estimated_seed,False
v4_legacy_0055,gt2,train,19,13,6,1,0.46501331360421544,1.0,0.004715023565727137,0,6,1,phenotype_roi_v1,0.9943928105077194,0.0,0.9953188482600247,True,estimated_seed,False
v4_legacy_0056,gt2,train,19,10,9,1,0.5911389873742339,0.9444444444444444,0.004149925640555881,0,7,1,phenotype_roi_v1,0.9959207723337715,0.049635036496350364,0.9950035131548131,True,estimated_seed,False
v4_legacy_0057,gt2,train,14,9,5,1,0.5631112706430865,1.0,0.0030879230012134016,0,4,1,phenotype_roi_v1,0.9429029559397658,0.0018570102135561746,0.9587931167528359,True,estimated_seed,False
v4_legacy_0058,gt2,train,16,9,7,1,0.8339872409180262,1.0,0.001639923862664381,0,5,1,phenotype_roi_v1,0.968157632191553,0.025267249757045675,0.9684251814081193,True,estimated_seed,False
v4_legacy_0059,gt2,train,15,8,7,1,0.872638770031936,1.0,0.0032433525546700093,0,5,1,phenotype_roi_v1,0.9991241340871089,0.0074005550416281225,1.0,True,estimated_seed,False
v4_legacy_0060,gt2,train,16,11,5,1,0.6135984924024392,1.0,0.0033504756019018646,0,4,1,phenotype_roi_v1,0.959799909049568,0.0016429353778751369,0.9684301260640017,True,estimated_seed,False
v4_legacy_0061,gt2,train,18,10,8,1,0.6622626647587158,1.0,0.003442051188422187,0,7,1,phenotype_roi_v1,0.9952097028996586,0.0,0.9949831063786219,True,estimated_seed,False
v4_legacy_0062,gt2,train,15,9,6,1,0.6695134459766207,1.0,0.006729614306078205,0,11,1,phenotype_roi_v1,0.9664992614475628,0.0440251572327044,0.9731340163077566,True,estimated_seed,False
v4_legacy_0063,gt2,train,22,17,5,1,0.5915684005554497,1.0,0.0024473508783056596,0,8,1,phenotype_roi_v1,0.9690084406172734,0.0003671071953010279,0.9713249145328962,True,estimated_seed,False
v4_legacy_0064,gt2,train,15,8,7,1,0.8441458417559631,1.0,0.0025502718622107167,0,5,1,phenotype_roi_v1,0.977333438089252,0.0,0.974016576766215,True,estimated_seed,False
v4_legacy_0065,gt2,train,14,8,6,1,0.873878846508096,1.0,0.0028234152216016894,0,5,1,phenotype_roi_v1,0.9615649117444792,0.01312910284463895,0.9790142807384187,True,estimated_seed,False
v4_legacy_0066,gt2,train,17,7,10,1,0.7347086916322816,1.0,0.0030468211677569584,0,9,1,phenotype_roi_v1,0.9894621595730122,0.4385026737967914,0.9898302604623939,True,estimated_seed,False
v4_legacy_0067,unknown,train,15,11,4,1,0.5922305884816302,1.0,0.0034217052902533966,0,4,1,phenotype_roi_v1,0.8872370884263847,0.004784688995215311,0.9096815084772619,True,estimated_seed,False
v4_legacy_0068,gt2,train,15,12,3,1,0.6119773233736112,0.9444444444444444,0.0029669418727076876,0,7,1,phenotype_roi_v1,0.9129441856216315,0.03959131545338442,0.9571358986848514,True,estimated_seed,False
v4_legacy_0069,gt2,train,15,9,6,1,0.7353339667569811,1.0,0.005962732777170645,0,7,1,phenotype_roi_v1,0.9344301156836715,0.057540223616034905,0.9752650176678446,True,estimated_seed,True
v4_legacy_0070,gt2,train,12,9,3,1,0.7750630375312129,1.0,0.006143933319880545,0,4,1,phenotype_roi_v1,0.9580064917500676,0.0,0.9644704295030357,True,estimated_seed,False
v4_legacy_0071,gt2,train,19,8,11,1,0.7151748521728629,0.9444444444444444,0.003950413489107673,0,15,1,phenotype_roi_v1,0.9494602214123633,0.02118491921005386,0.9673446948873007,True,estimated_seed,False
v4_legacy_0072,gt2,train,21,10,11,1,0.6752179783094575,1.0,0.0054091715328052625,0,12,1,phenotype_roi_v1,0.9883019886619274,0.0011467889908256881,0.9914480717046296,True,estimated_seed,False
v4_legacy_0073,unknown,train,19,14,5,1,0.7675118712703448,1.0,0.003052330835551253,0,11,1,phenotype_roi_v1,0.9227051036404808,0.031395348837209305,0.9640643498850895,True,estimated_seed,True
v4_legacy_0074,gt2,train,13,8,5,1,0.7692965561470607,1.0,0.005197327869261072,0,9,0,phenotype_roi_v1,0.9851727178007534,0.011650485436893204,0.9858331745124198,True,estimated_seed,False
v4_legacy_0075,gt2,train,15,10,5,1,0.5621442349769068,0.8888888888888888,0.003736321221632098,0,8,1,phenotype_roi_v1,0.9642953164488897,0.00039936102236421724,0.9828027433718907,True,estimated_seed,False
v4_legacy_0076,gt2,train,13,11,2,1,0.4531685039161729,0.8888888888888888,0.0069362347150110654,0,4,1,phenotype_roi_v1,0.9753144469260608,0.02459016393442623,0.9816463498150938,True,estimated_seed,False
v4_legacy_0077,gt2,train,18,12,6,1,0.660606269419753,1.0,0.003729081275736003,0,9,1,phenotype_roi_v1,0.9252855578156783,0.026876737720111215,0.9679337231968811,True,estimated_seed,False
v4_legacy_0078,gt2,train,17,9,8,1,0.6297871330046206,1.0,0.007353250395491264,0,10,1,phenotype_roi_v1,0.9932837028645412,0.00434610825760569,0.9927701164814566,True,estimated_seed,False
v4_legacy_0079,gt2,train,15,10,5,1,0.7004021947601204,0.8888888888888888,0.0019915888364010564,0,8,1,phenotype_roi_v1,0.966542750929368,0.006362058993637941,0.9818194245096029,True,estimated_seed,False
v4_legacy_0080,gt2,train,19,8,11,1,0.8872459470842919,1.0,0.0019741684491229802,0,8,1,phenotype_roi_v1,0.9367061923583663,0.012462397937258273,0.9317472279039725,True,estimated_seed,False
v4_legacy_0081,unknown,train,18,14,4,1,0.8167926524683768,1.0,0.003471641323825676,0,12,1,phenotype_roi_v1,0.9683623258715087,0.03612334801762115,0.9927413372893928,True,estimated_seed,True
v4_legacy_0082,unknown,train,23,13,10,1,0.7543950419464615,1.0,0.0034824564859424747,0,6,1,phenotype_roi_v1,0.8875203583061889,0.0,0.9427984036763817,True,estimated_seed,False
v4_legacy_0083,gt2,train,17,11,6,1,0.581725971338434,0.8888888888888888,0.005190798110971397,0,7,1,phenotype_roi_v1,0.9633313240908178,0.004478029666946544,0.9598889231718606,True,estimated_seed,False
v4_legacy_0084,gt2,train,15,11,4,1,0.6099049765421463,1.0,0.004286769607123802,0,10,1,phenotype_roi_v1,0.8922325639634375,0.006152125279642058,0.9043391092653588,True,estimated_seed,False
v4_legacy_0085,unknown,train,21,13,8,1,0.72156023650923,1.0,0.006707905319061833,0,14,1,phenotype_roi_v1,0.9602959142120266,0.019075568598679385,0.983012987012987,True,estimated_seed,True
v4_legacy_0086,unknown,train,24,18,6,1,0.6130387786219529,1.0,0.003997302347153109,0,15,1,phenotype_roi_v1,0.9082110439718538,0.0053475935828877,0.9333611627642214,True,estimated_seed,False
v4_legacy_0087,gt2,train,15,7,8,1,0.8459136283467847,1.0,0.003341415263432586,0,9,1,phenotype_roi_v1,0.9586562108486845,0.0,0.9690450394675747,True,estimated_seed,False
v4_legacy_0088,unknown,train,23,13,10,1,0.5542655452210337,0.8888888888888888,0.0033511283872863064,0,9,1,phenotype_roi_v1,0.8515243790585905,0.002770083102493075,0.9008906965968182,True,estimated_seed,False
v4_legacy_0089,gt2,train,23,13,10,1,0.6523722638434256,1.0,0.002824617844574431,0,12,1,phenotype_roi_v1,0.9443429779871191,0.013285358427899253,0.9679481786825944,True,estimated_seed,False
v4_legacy_0090,unknown,train,15,7,8,1,0.8850758792358613,1.0,0.002993594135920312,0,4,1,phenotype_roi_v1,0.9738471169228629,0.016790123456790124,0.9733296923357,True,estimated_seed,False
v4_legacy_0091,gt2,train,13,7,6,1,0.823303222966256,1.0,0.0034583274996161863,0,7,1,phenotype_roi_v1,0.9139267990074442,0.013665594855305467,0.9273574973680253,True,estimated_seed,False
v4_legacy_0092,gt2,train,16,6,10,1,0.7368853424327648,1.0,0.006330187031251055,0,6,1,phenotype_roi_v1,0.9743264659270998,0.04070265638389032,0.9646424290850979,True,estimated_seed,False
v4_legacy_0093,gt2,train,17,13,4,1,0.5951440366980443,1.0,0.002652328274676207,0,7,1,phenotype_roi_v1,0.9514012559752554,0.020393811533052038,0.9488593866866118,True,estimated_seed,False
v4_legacy_0094,gt2,train,13,7,6,1,0.7733204747130956,1.0,0.0018114879718848732,0,5,1,phenotype_roi_v1,0.967425256581883,0.0,0.9720790378006873,False,manifest_automatic_base_hint_fallback,False
v4_legacy_0095,unknown,train,21,16,5,1,0.7861234303510203,0.9444444444444444,0.0027924044802957087,0,14,1,phenotype_roi_v1,0.9654928276796159,0.0071090047393364926,0.9855092853123242,False,seed_base_root_mask,False
v4_legacy_0096,gt2,train,20,14,6,1,0.599378922271535,0.8888888888888888,0.002543446997643665,0,14,1,phenotype_roi_v1,0.956999505335312,0.012922465208747515,0.9729793233082706,True,estimated_seed,False
v4_legacy_0097,gt2,train,14,7,7,1,0.7502284870129202,1.0,0.006216115156301211,0,8,1,phenotype_roi_v1,0.8730121240749489,0.0,0.912739513205593,True,estimated_seed,True
v4_legacy_0098,gt2,train,17,15,2,1,0.6381345399918551,0.8888888888888888,0.002440511931602975,0,12,1,phenotype_roi_v1,0.9641310487667106,0.0,1.0,True,estimated_seed,True
v4_train_new_0001,unassigned,train,15,5,10,1,0.7363961703837986,1.0,0.004935820918805471,0,4,1,phenotype_roi_v1,0.9758346301788179,0.00392156862745098,0.9746919238211631,True,estimated_seed,False
v4_train_new_0002,unassigned,train,16,6,10,1,0.762166302886219,0.9444444444444444,0.0026213874013911904,0,5,1,phenotype_roi_v1,0.9976557403783431,0.03928905519176801,0.9985274305229188,True,estimated_seed,False
v4_train_new_0003,unassigned,train,16,4,12,1,0.6077176364165489,0.9444444444444444,0.006343021101375362,0,5,1,phenotype_roi_v1,0.9781175444447295,0.013379369874838154,0.9742117602028612,True,estimated_seed,False
v4_train_new_0004,unassigned,train,14,10,4,1,0.5291763020177558,0.8333333333333333,0.003941955793497134,0,7,1,phenotype_roi_v1,0.9949652531555808,0.020018198362147407,0.9968919278927271,True,estimated_seed,False
v4_train_new_0005,unassigned,train,15,8,7,1,0.6267175112272676,1.0,0.0047274923174972635,0,6,1,phenotype_roi_v1,0.9919283683539754,0.0020107238605898124,0.9949599762822413,True,estimated_seed,False
v4_train_new_0006,unassigned,train,15,13,2,1,0.6223869275442643,0.8888888888888888,0.0038273354386709948,0,10,1,phenotype_roi_v1,0.9909331091629638,0.0,0.9900009851246183,True,estimated_seed,False
v4_train_new_0007,unassigned,train,15,6,9,1,0.7765129572775609,0.9444444444444444,0.004119813559217877,0,9,1,phenotype_roi_v1,0.9692976804123712,0.009096077316657191,0.9607453893442623,True,estimated_seed,False
v4_train_new_0008,unassigned,train,12,7,5,1,0.8369564792210701,1.0,0.004272654689219137,0,4,1,phenotype_roi_v1,0.9979919161753726,0.0038461538461538464,0.9981903900185723,True,estimated_seed,False
v4_train_new_0009,unassigned,train,16,8,8,1,0.590646768173429,0.8333333333333333,0.0030662884014011067,0,4,1,phenotype_roi_v1,0.9939493852926218,0.0329512893982808,0.9981974486966168,True,estimated_seed,False
v4_train_new_0010,unassigned,train,16,5,11,1,0.8286228213377166,1.0,0.001755179300441425,0,4,1,phenotype_roi_v1,0.9115561118064247,0.0,1.0,True,estimated_seed,True
v4_train_new_0011,unassigned,train,10,6,4,1,0.7922866990512311,1.0,0.002782148853776578,0,7,1,phenotype_roi_v1,0.9985778245983671,0.009927200529450696,1.0,True,estimated_seed,False
v4_train_new_0012,unassigned,train,12,5,7,1,0.9041031165471916,1.0,0.0023435804016915945,0,4,1,phenotype_roi_v1,0.9978854964277705,0.005474452554744526,0.9969337863594928,True,estimated_seed,False
v4_train_new_0013,unassigned,train,14,6,8,1,0.8156249109689331,0.9444444444444444,0.0028030020989088453,0,4,1,phenotype_roi_v1,0.9981622388444674,0.0,0.998450184501845,True,estimated_seed,False
v4_train_new_0014,unassigned,train,19,10,9,1,0.6993327509601911,1.0,0.005466633828840117,0,7,1,phenotype_roi_v1,0.9976864913666629,0.0,0.9998043308113749,True,estimated_seed,False
v4_train_new_0015,unassigned,train,9,6,3,1,0.7945497264220516,1.0,0.0047689554327600275,0,6,1,phenotype_roi_v1,0.911693725318122,0.016812865497076022,0.903288537000382,True,estimated_seed,False
v4_train_new_0016,unassigned,train,13,6,7,1,0.7089943189945463,0.8888888888888888,0.0033081813641691426,0,7,1,phenotype_roi_v1,0.8986845186977906,0.009415262636273538,0.9507944285014349,True,estimated_seed,False
v4_train_new_0017,unassigned,train,14,9,5,1,0.821653670658392,1.0,0.001596961783284048,0,5,1,phenotype_roi_v1,0.997715943382071,0.0,0.9997145168197173,True,estimated_seed,False
v4_train_new_0018,unassigned,train,13,9,4,1,0.7715265394160434,1.0,0.0029094126148160085,0,10,1,phenotype_roi_v1,0.9641816964851029,0.05329593267882188,0.9950381060483217,True,estimated_seed,True
v4_train_new_0020,unassigned,train,19,9,10,1,0.6625298134733185,0.8888888888888888,0.005880714570843507,0,11,0,phenotype_roi_v1,0.886942093910735,0.0,0.9171551589977693,True,estimated_seed,True
v4_train_new_0021,unassigned,train,17,9,8,1,0.604914106836087,0.8888888888888888,0.007111497343869257,0,8,1,phenotype_roi_v1,0.9974014373299769,5.7267208796243274e-05,1.0,True,estimated_seed,False
v4_train_new_0022,unassigned,train,19,11,8,1,0.77458444085617,1.0,0.0029246519210452504,0,12,1,phenotype_roi_v1,0.9787340819271062,0.01715102429728442,0.9899305681776873,True,estimated_seed,False
v4_train_new_0023,unassigned,train,18,7,11,1,0.8153556581227805,0.8888888888888888,0.002510945622040407,0,7,1,phenotype_roi_v1,0.9693335479716677,0.0014695712309820193,0.9879903923138511,True,estimated_seed,False
v4_train_new_0024,unassigned,train,13,9,4,1,0.5571357496322497,0.8888888888888888,0.0031165905894417153,0,5,1,phenotype_roi_v1,0.9761220647973843,0.03787480273540242,0.9832362802188107,True,estimated_seed,False
v4_train_new_0025,unassigned,train,14,8,6,1,0.7103726092089436,0.8888888888888888,0.0031832349919517513,0,4,1,phenotype_roi_v1,0.9895559502664298,0.03227016885553471,0.9928818682658086,True,estimated_seed,False
v4_train_new_0026,unassigned,train,17,7,10,1,0.837104206425236,1.0,0.0035037567540571394,0,4,1,phenotype_roi_v1,0.9839826975519543,0.0,0.9793187347931873,True,estimated_seed,False
v4_train_new_0027,unassigned,train,17,6,11,1,0.8618645136519439,1.0,0.003386770859207115,0,5,1,phenotype_roi_v1,0.9698699651125912,0.00972972972972973,0.9714425701686848,True,estimated_seed,False
v4_train_new_0029,unassigned,train,13,6,7,1,0.8570659785256094,1.0,0.0032295312222545792,0,8,1,phenotype_roi_v1,0.9287128712871288,0.0,1.0,True,estimated_seed,True
v4_train_new_0030,unassigned,train,11,7,4,1,0.7620369906996737,1.0,0.004287547755600708,0,3,1,phenotype_roi_v1,0.9986209680131849,0.0,0.9996122903944945,False,manifest_automatic_base_hint_fallback,False
v4_train_new_0031,unassigned,train,12,8,4,1,0.7067528135837733,1.0,0.0036775732873953124,0,5,1,phenotype_roi_v1,0.9977363552524942,0.0,0.9975649780318671,True,estimated_seed,False
v4_train_new_0032,unassigned,train,12,4,8,1,0.7595983693032426,0.9444444444444444,0.005275312602371976,0,5,1,phenotype_roi_v1,0.9081609391918847,0.007825874296894107,0.916394810712389,True,estimated_seed,False
v4_train_new_0033,unassigned,train,11,5,6,1,0.7899289487634497,1.0,0.003772028501070347,0,4,1,phenotype_roi_v1,0.9992343032159265,0.03381066030230708,1.0,True,estimated_seed,False
v4_train_new_0034,unassigned,train,15,9,6,1,0.779409737207752,1.0,0.002976689103302053,0,5,1,phenotype_roi_v1,0.987079247283329,0.00046511627906976747,0.9805971271715425,True,estimated_seed,False
v4_train_new_0035,unassigned,train,15,6,9,1,0.7333854251871256,0.8888888888888888,0.0027328707127326477,0,4,1,phenotype_roi_v1,0.991284708383154,0.004209640075773522,0.989680665366054,True,estimated_seed,False
v4_train_new_0036,unassigned,train,13,9,4,1,0.6185895900649544,1.0,0.00223841590945692,0,5,1,phenotype_roi_v1,0.9721922495915158,0.006831767719897523,0.9780033840947546,True,estimated_seed,False
v4_train_new_0037,unassigned,train,17,5,12,1,0.5386270260032311,0.8888888888888888,0.005854274209820388,0,3,1,phenotype_roi_v1,0.9467008441242764,0.007290934645115953,0.9656352163004638,True,estimated_seed,False
v4_train_new_0038,unassigned,train,16,11,5,1,0.8134509052609906,1.0,0.0023614135580175295,0,8,1,phenotype_roi_v1,0.9970701960583916,0.0,1.0,True,estimated_seed,False
