dataset_id,stage_label,split,identity_candidate_count,accepted_count,rejected_count,training_usable,median_confidence,median_presence,median_localization_error,safety_cap_hit
stagev3_0043,gt2,auxiliary,14,9,5,1,0.48475233531715617,0.8888888888888888,0.005045178902495496,0
stagev3_0044,gt2,auxiliary,20,11,9,1,0.6697647235274421,0.8888888888888888,0.003754037737959647,0
stagev3_0046,gt2,auxiliary,18,8,10,1,0.7514196622958085,1.0,0.003710075089182389,0
stagev3_0047,gt2,auxiliary,17,8,9,1,0.7041962990209716,1.0,0.0025286854942169466,0
stagev3_0048,gt2,auxiliary,13,8,5,1,0.6743853613283775,0.9444444444444444,0.003762667187610864,0
stagev3_0049,unknown,auxiliary,17,8,9,1,0.636143851512297,1.0,0.005831835121621157,0
stagev3_0050,gt2,auxiliary,15,9,6,1,0.582083824761692,1.0,0.004587890578896529,0
stagev3_0051,unknown,auxiliary,17,9,8,1,0.48304134466253623,1.0,0.005511173278785171,0
stagev3_0052,gt2,auxiliary,22,12,10,1,0.5798220517774766,0.8888888888888888,0.0026574154583954073,0
stagev3_0053,gt2,auxiliary,12,8,4,1,0.62611209467289,1.0,0.0030765488527592687,0
stagev3_0054,unknown,auxiliary,14,7,7,1,0.6216168202771236,1.0,0.003274838003649279,0
stagev3_0055,gt2,auxiliary,18,8,10,1,0.7368150993361245,0.9444444444444444,0.001285313822732379,0
stagev3_0056,gt2,auxiliary,18,8,10,1,0.6663298911936193,1.0,0.003037696099501243,0
stagev3_0057,gt2,auxiliary,14,9,5,1,0.7992590511674178,1.0,0.0027043448539293717,0
stagev3_0058,gt2,auxiliary,16,9,7,1,0.5252609000646594,1.0,0.004556044619240356,0
stagev3_0059,gt2,auxiliary,17,5,12,1,0.8713927565183609,1.0,0.0018562376110577055,0
stagev3_0060,gt2,auxiliary,14,11,3,1,0.5048315635060581,0.8888888888888888,0.0024139563757913773,0
stagev3_0061,gt2,auxiliary,11,6,5,1,0.7610170783011465,1.0,0.0022587208113328348,0
stagev3_0062,gt2,auxiliary,15,8,7,1,0.809205543524,1.0,0.0021143295083950837,0
stagev3_0063,gt2,auxiliary,19,8,11,1,0.7658379768746797,1.0,0.002697455181331308,0
stagev3_0064,gt2,auxiliary,18,10,8,1,0.5796346849870703,1.0,0.0039306049178991255,0
stagev3_0065,gt2,auxiliary,16,10,6,1,0.6273644160216555,0.9444444444444444,0.004932241505027872,0
stagev3_0066,gt2,auxiliary,11,9,2,1,0.5891037165170213,1.0,0.002175275591116797,0
stagev3_0067,gt2,auxiliary,16,9,7,1,0.7561983736457255,0.8888888888888888,0.0035145404988630616,0
stagev3_0068,unknown,auxiliary,16,11,5,1,0.47490261253373917,1.0,0.003140387027848363,0
stagev3_0069,gt2,auxiliary,15,12,3,1,0.5496249917145798,1.0,0.004733209839319593,0
stagev3_0070,gt2,auxiliary,18,11,7,1,0.5186924795538368,1.0,0.004016900112453099,0
stagev3_0071,gt2,auxiliary,15,9,6,1,0.5267178145537028,1.0,0.003727142808548434,0
stagev3_0072,gt2,auxiliary,15,10,5,1,0.6600855406896404,0.8888888888888888,0.002817992839648314,0
stagev3_0073,gt2,auxiliary,15,11,4,1,0.6806848046021347,1.0,0.004651577378561316,0
stagev3_0074,unknown,auxiliary,16,10,6,1,0.6862768968560389,1.0,0.0038749379506836513,0
stagev3_0075,gt2,auxiliary,14,6,8,1,0.7286147822961788,1.0,0.0029095930403997628,0
stagev3_0076,gt2,auxiliary,17,11,6,1,0.5638554303328622,0.8888888888888888,0.0020587209697397668,0
stagev3_0077,gt2,auxiliary,15,14,1,1,0.4828834683651524,1.0,0.005296039864329383,0
stagev3_0078,gt2,auxiliary,19,13,6,1,0.5083015290813769,0.8888888888888888,0.0033950567505382752,0
stagev3_0079,gt2,auxiliary,20,11,9,1,0.5048772707266606,0.8888888888888888,0.00330192493811591,0
stagev3_0080,gt2,auxiliary,13,8,5,1,0.6823324624986835,1.0,0.004470465620912746,0
stagev3_0081,gt2,auxiliary,17,9,8,1,0.7401356804650739,1.0,0.002736398120792087,0
stagev3_0082,unknown,auxiliary,19,11,8,1,0.6860911821211276,1.0,0.003472486069784014,0
stagev3_0083,unknown,auxiliary,20,11,9,1,0.7218011858111205,1.0,0.003927375563094245,0
stagev3_0085,gt2,auxiliary,20,10,10,1,0.5775005208367026,1.0,0.0036838108752207228,0
stagev3_0086,gt2,auxiliary,14,8,6,1,0.707909566080889,0.9444444444444444,0.0026675241491466548,0
stagev3_0087,unknown,auxiliary,15,8,7,1,0.7280659323298424,0.9444444444444444,0.00282599663466207,0
stagev3_0088,unknown,auxiliary,23,15,8,1,0.6073898186473022,1.0,0.003849780943719925,0
stagev3_0089,gt2,auxiliary,17,13,4,1,0.6276220146342378,1.0,0.0023228797959607863,0
stagev3_0091,unknown,auxiliary,18,9,9,1,0.5766435742648357,1.0,0.0033280301458698245,0
stagev3_0092,gt2,auxiliary,16,10,6,1,0.7323052841810134,1.0,0.0034070290738431605,0
stagev3_0093,unknown,auxiliary,15,9,6,1,0.6050560944749326,1.0,0.004691675731998846,0
stagev3_0094,gt2,auxiliary,15,7,8,1,0.8174087568036531,1.0,0.0024596797462748477,0
stagev3_0095,gt2,auxiliary,16,8,8,1,0.5393654100688683,0.8888888888888888,0.005765981811918912,0
stagev3_0096,gt2,auxiliary,14,10,4,1,0.6763630293393252,1.0,0.002706693245623497,0
stagev3_0097,gt2,auxiliary,16,7,9,1,0.780616672823691,0.8888888888888888,0.004691121844455764,0
stagev3_0098,unknown,auxiliary,18,11,7,1,0.7425493382244941,0.8888888888888888,0.003396838331460483,0
stagev3_0099,gt2,auxiliary,16,10,6,1,0.6309841307528672,1.0,0.003365274208978482,0
stagev3_0100,gt2,auxiliary,18,11,7,1,0.5584440346172405,1.0,0.0033049040734276468,0
stagev3_0101,gt2,auxiliary,18,9,9,1,0.7331673875004265,1.0,0.0009911000143097172,0
