dataset_id,split,source_frame_id,acquisition_period,candidate_orientation,crop_width_px,crop_height_px,fullplant_source_crop_width_px,fullplant_source_crop_height_px,standardized_width_px,standardized_height_px,normalization_padding_px,resize_scale,source_dpi,mm_per_output_px,physical_scale_status,shoot_area_px,shoot_bbox_width_px,shoot_bbox_height_px,shoot_fill_ratio,skeleton_pixels,endpoint_count,branchpoint_count,mean_thickness_px,source_relative_path,image_path,mask_path
v4_val_0011,val,src_0546,0516,horizontal,1486,331,1962,477,1620,409,10,0.8154943934760448,600.0,0.051911250000000006,verified_from_tiff_metadata,42915,1120,139,0.2756616135662898,1523,23,68,28.177938279711096,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0011.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0011.png
v4_val_0012,val,src_0546,0516,horizontal,1194,271,1576,391,1596,411,10,1.0,600.0,0.042333333333333334,verified_from_tiff_metadata,47163,1054,94,0.47602850337114944,1824,36,124,25.856907894736842,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0012.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0012.png
v4_val_0013,val,src_0546,0516,horizontal,1568,467,2070,673,1626,546,13,0.7729468599033816,600.0,0.05476875,verified_from_tiff_metadata,60997,1266,241,0.19992068330350762,2420,49,176,25.205371900826446,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0013.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0013.png
v4_val_0014,val,src_0546,0516,horizontal,1950,517,2574,745,1624,487,12,0.6216006216006216,600.0,0.06810375,verified_from_tiff_metadata,41330,1115,169,0.2193329264733197,1607,34,83,25.718730553827008,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B3-01-土-0508\0516\100038.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0014.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0014.png
v4_val_0015,val,src_0615,9.14-5.12,horizontal,2011,543,2655,781,1624,495,12,0.6026365348399246,600.0,0.070246875,verified_from_tiff_metadata,54545,1357,338,0.1189209577339502,2670,84,216,20.428838951310862,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0015.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0015.png
v4_val_0016,val,src_0615,9.14-5.12,vertical,1306,2456,1593,3242,826,1640,20,0.4935225169648365,600.0,0.08577791666666666,verified_from_tiff_metadata,52653,365,1245,0.11586730483578148,2187,40,129,24.07544581618656,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0016.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0016.png
v4_val_0017,val,src_0615,9.14-5.12,horizontal,2586,732,3414,1054,1624,518,12,0.46865846514352666,600.0,0.09032875,verified_from_tiff_metadata,39487,1321,204,0.14652817978061777,2506,91,255,15.756983240223464,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0017.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0017.png
v4_val_0018,val,src_0615,9.14-5.12,horizontal,2347,531,3099,765,1620,415,10,0.516295579219103,600.0,0.081994375,verified_from_tiff_metadata,59231,1325,313,0.14281994092470915,2825,68,241,20.966725663716815,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0018.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0018.png
v4_val_0019,val,src_0615,9.14-5.12,horizontal,2517,1223,3323,1761,1642,890,21,0.48149262714414687,600.0,0.08792104166666666,verified_from_tiff_metadata,39049,1120,126,0.2767077664399093,2183,92,224,17.88776912505726,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0019.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0019.png
v4_val_0020,val,src_0615,9.14-5.12,horizontal,2661,669,3513,963,1622,461,11,0.4554511813265016,600.0,0.09294812499999999,verified_from_tiff_metadata,49312,1166,303,0.1395762217731207,2566,71,227,19.21745908028059,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500019.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0020.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0020.png
v4_val_0021,val,src_0565,0510,horizontal,3578,820,4476,1180,1622,444,11,0.3574620196604111,600.0,0.11842749999999999,verified_from_tiff_metadata,33622,1263,160,0.16637965162311955,2386,87,239,14.091366303436715,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0021.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0021.png
v4_val_0022,val,src_0565,0510,vertical,644,2839,928,3747,416,1620,10,0.4270082732852949,600.0,0.099139375,verified_from_tiff_metadata,36770,153,1156,0.20789515344776896,1662,42,107,22.123947051744885,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0022.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0022.png
v4_val_0023,val,src_0565,0510,horizontal,3838,331,4648,477,1616,180,8,0.3442340791738382,600.0,0.12297833333333334,verified_from_tiff_metadata,38404,1197,62,0.5174764869162153,1935,56,178,19.84702842377261,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0023.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0023.png
v4_val_0024,val,src_0565,0510,horizontal,3318,492,4251,708,1616,282,8,0.37638202775817453,600.0,0.112474375,verified_from_tiff_metadata,32447,1206,99,0.2717640752466623,2378,92,304,13.644659377628258,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0024.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0024.png
v4_val_0025,val,src_0565,0510,horizontal,3886,331,4701,477,1616,178,8,0.34035311635822163,600.0,0.124380625,verified_from_tiff_metadata,35666,1204,65,0.4557372859698441,1969,38,148,18.113763331640428,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0025.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0025.png
v4_val_0026,val,src_0565,0510,horizontal,4050,644,4857,928,1616,322,8,0.3294214535721639,600.0,0.128508125,verified_from_tiff_metadata,24682,1211,123,0.16570327552986513,2471,107,372,9.988668555240793,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0026.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0026.png
v4_val_0027,val,src_0565,0510,horizontal,3106,706,4100,1016,1620,416,10,0.3902439024390244,600.0,0.10847916666666665,verified_from_tiff_metadata,33526,1148,161,0.1813902655441816,2208,81,206,15.183876811594203,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0027.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0027.png
v4_val_0028,val,src_0565,0510,vertical,276,1547,398,2043,328,1616,8,0.7831620166421929,600.0,0.054054374999999995,verified_from_tiff_metadata,47175,99,1291,0.36910546205666267,2841,94,349,16.60506863780359,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100060.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0028.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0028.png
v4_val_0029,val,src_0349,0515,horizontal,3188,744,3976,1072,1622,453,11,0.4024144869215292,600.0,0.10519833333333332,verified_from_tiff_metadata,41829,1061,168,0.2346674296485795,1455,24,71,28.748453608247424,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\3.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0029.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0029.png
v4_val_0030,val,src_0349,0515,horizontal,3208,442,3974,636,1616,272,8,0.40261701056869653,600.0,0.10514541666666666,verified_from_tiff_metadata,38469,1166,106,0.31124793682643453,1554,24,74,24.754826254826256,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\3.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0030.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0030.png
v4_val_0031,val,src_0349,0515,horizontal,2764,392,3648,564,1616,263,8,0.43859649122807015,600.0,0.09652000000000001,verified_from_tiff_metadata,39161,1320,126,0.23545574795574795,2129,73,176,18.394081728511036,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\3.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0031.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0031.png
v4_val_0032,val,src_0349,0515,horizontal,3920,656,4678,944,1616,339,8,0.3420265070542967,600.0,0.12377208333333332,verified_from_tiff_metadata,30021,1208,91,0.2730969361764064,1613,45,101,18.611903285802853,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A1-09-土-0502\0515\3.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0032.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0032.png
v4_val_0033,val,src_0614,9.14-5.12,horizontal,3126,1840,3716,2650,1658,1199,29,0.43057050592034446,600.0,0.09831916666666667,verified_from_tiff_metadata,51836,1247,403,0.10314780286583582,3260,115,340,15.900613496932515,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500018.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0033.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0033.png
v4_val_0034,val,src_0614,9.14-5.12,horizontal,2579,732,3405,1054,1624,519,12,0.4698972099853157,600.0,0.09009062500000001,verified_from_tiff_metadata,42960,1218,263,0.1341100226638446,2230,67,215,19.26457399103139,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500018.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0034.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0034.png
v4_val_0035,val,src_0614,9.14-5.12,horizontal,1991,429,2629,617,1618,394,9,0.608596424496006,600.0,0.06955895833333334,verified_from_tiff_metadata,54415,1395,278,0.1403135556071272,2859,94,265,19.032878628891222,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500018.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0035.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0035.png
v4_val_0036,val,src_0614,9.14-5.12,horizontal,2586,820,3414,1180,1628,581,14,0.46865846514352666,600.0,0.09032875,verified_from_tiff_metadata,47102,1168,230,0.1753350208457415,2333,74,192,20.189455636519504,..秧苗素质-扫描系统采集\扫描仪9.5\9.14-5.12\062500018.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0036.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0036.png
v4_val_0037,val,src_0560,0510,horizontal,3736,555,4566,799,1616,296,8,0.3504161191414805,600.0,0.12080874999999998,verified_from_tiff_metadata,31110,1212,117,0.21938732334771938,1892,66,195,16.44291754756871,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100055.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0037.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0037.png
v4_val_0038,val,src_0560,0510,horizontal,3270,631,4316,909,1616,353,8,0.3707136237256719,600.0,0.11419416666666667,verified_from_tiff_metadata,30919,1174,167,0.15770333268726602,2109,66,208,14.66050260787103,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100055.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0038.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0038.png
v4_val_0039,val,src_0560,0510,horizontal,4378,643,5100,925,1616,306,8,0.3137254901960784,600.0,0.13493750000000002,verified_from_tiff_metadata,32520,1018,115,0.2777825232766721,1893,55,200,17.179080824088746,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100055.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0039.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0039.png
v4_val_0040,val,src_0560,0510,horizontal,3312,530,4334,764,1616,298,8,0.36917397323488693,600.0,0.11467041666666665,verified_from_tiff_metadata,32722,1133,108,0.26741525285214607,1544,23,82,21.19300518134715,..秧苗素质-扫描系统采集\传感器A1-B4 苗\B4-01-土-0424\0510\100055.tif,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\images\val\v4_val_0040.png,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v4_fullplant_candidate\masks\shoot\val\v4_val_0040.png
