protocol_version,dataset_id,pilot_group,blind_id,rater_id,measurement_round,measurement_date,gt_leaf_id,leaf_exists,visibility_status,trace_status,basal_transition_status,start_x_px,start_y_px,tip_x_px,tip_y_px,trace_file,length_px,source_dpi,resize_scale,mm_per_output_px,length_mm,shoot_bbox_diag_px,length_bbox_norm,reference_main_path,divergence_point_x_px,divergence_point_y_px,local_interval_px,divergence_angle_deg,total_turning_angle_deg,mean_abs_curvature_mm_inv,occlusion_grade,interpolation_used,confidence,evaluation_only_no_training,notes
phenotype-first-pilot-v1,v4_val_0011,core,R11_0011,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.8154943934760448,0.051911250000000006,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R11_0016,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R11_0016,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R11_0018,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R11_0018,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R11_0018,R1,1,,GT03,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R11_0020,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R11_0020,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R11_0020,R1,1,,GT03,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R11_0023,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R11_0023,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0027,core,R11_0027,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3902439024390244,0.10847916666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0027,core,R11_0027,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3902439024390244,0.10847916666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R11_0028,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R11_0028,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0030,core,R11_0030,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.40261701056869653,0.10514541666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0030,core,R11_0030,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.40261701056869653,0.10514541666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0034,diagnostic,R11_0034,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.4698972099853157,0.09009062500000001,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0034,diagnostic,R11_0034,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.4698972099853157,0.09009062500000001,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R11_0035,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R11_0035,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R11_0035,R1,1,,GT03,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0037,core,R11_0037,R1,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3504161191414805,0.12080874999999998,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0037,core,R11_0037,R1,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3504161191414805,0.12080874999999998,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R12_0002,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R12_0002,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0004,core,R12_0004,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.40414246021722655,0.10474854166666667,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0004,core,R12_0004,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.40414246021722655,0.10474854166666667,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R12_0005,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R12_0005,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0006,core,R12_0006,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.362400906002265,0.11681354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0006,core,R12_0006,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.362400906002265,0.11681354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0009,core,R12_0009,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.9060022650056625,0.046725416666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0011,core,R12_0011,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.8154943934760448,0.051911250000000006,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0011,core,R12_0011,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.8154943934760448,0.051911250000000006,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R12_0016,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R12_0016,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R12_0018,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R12_0018,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0018,diagnostic,R12_0018,R1,2,,GT03,yes,pending,pending,pending,,,,,,,600,0.516295579219103,0.081994375,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R12_0020,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R12_0020,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R12_0020,R1,2,,GT03,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R12_0023,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R12_0023,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0027,core,R12_0027,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.3902439024390244,0.10847916666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0027,core,R12_0027,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.3902439024390244,0.10847916666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R12_0028,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R12_0028,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0030,core,R12_0030,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.40261701056869653,0.10514541666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0030,core,R12_0030,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.40261701056869653,0.10514541666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0034,diagnostic,R12_0034,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.4698972099853157,0.09009062500000001,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0034,diagnostic,R12_0034,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.4698972099853157,0.09009062500000001,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R12_0035,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R12_0035,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R12_0035,R1,2,,GT03,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0037,core,R12_0037,R1,2,,GT01,yes,pending,pending,pending,,,,,,,600,0.3504161191414805,0.12080874999999998,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0037,core,R12_0037,R1,2,,GT02,yes,pending,pending,pending,,,,,,,600,0.3504161191414805,0.12080874999999998,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R21_0002,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0002,diagnostic,R21_0002,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3969238402381543,0.10665354166666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R21_0005,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0005,core,R21_0005,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.6324110671936759,0.06693958333333333,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0009,core,R21_0009,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.9060022650056625,0.046725416666666665,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R21_0016,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0016,core,R21_0016,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.4935225169648365,0.08577791666666666,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R21_0020,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R21_0020,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0020,core,R21_0020,R2,1,,GT03,yes,pending,pending,pending,,,,,,,600,0.4554511813265016,0.09294812499999999,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R21_0023,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0023,diagnostic,R21_0023,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.3442340791738382,0.12297833333333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R21_0028,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0028,core,R21_0028,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.7831620166421929,0.054054374999999995,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R21_0035,R2,1,,GT01,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R21_0035,R2,1,,GT02,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
phenotype-first-pilot-v1,v4_val_0035,core,R21_0035,R2,1,,GT03,yes,pending,pending,pending,,,,,,,600,0.608596424496006,0.06955895833333334,,,,pending,,,,,,,pending,pending,pending,1,
